Name	Another name	Abbr.	Commercial name		Type	Km Hki	Code	Section	Municipality	Traffic control		Private sidings	Shunting	Latitude	Longitude
Pyhäsalmi		Phä			Liikennepaikka	615+934	00331	Iisalmi–Ylivieska	Pyhäjärvi	K			K	63.682935	25.982615
Pännäinen	Bennäs	Pnä	Pietarsaari-Pedersöre		Liikennepaikka	518+604	00305	Pännäinen–Pietarsaari, Seinäjoki–Oulu	Pedersören ku	K				63.595382	22.790363
Raahe	Brahestad	Rhe			Liikennepaikka	726+726	00335	Raahe–Rautaruukki, Tuomioja–Raahe	Raahe	K		K		64.683364	24.490632
Raippo		Rpo			Liikennepaikka	270+052	00490	Luumäki–Vainikkala-raja	Lappeenranta	K		K		60.912094	28.10607
Raisio	Reso	Rai			Liikennepaikka	207+829	00125	Turku–Uusikaupunki, Raisio–Naantali	Raisio	K		K	K	60.485475	22.130194
Rajamäki		Rm			Liikennepaikka	72+267	00088	Hyvinkää–Karjaa	Nurmijärvi				K	60.532706	24.761636
Rajaperkiö		Rjp			Liikennepaikka	448+396	01220	Seinäjoki–Oulu	Lapua	K				63.036254	23.013344
Rantasalmi		Rmi			Liikennepaikka	445+165	00524	Huutokoski–Savonlinna	Rantasalmi	K			K	62.014348	28.276594
Rasinsuo		Ras			Liikennepaikka	258+510	01222	Kouvola–Joensuu	Luumäki	K				60.97619	27.892136
Ratikylä		Rlä			Liikennepaikka	284+344	00596	Tampere–Seinäjoki	Kihniö	K				62.245426	23.011184
Rauha		Rah			Liikennepaikka	318+490	00501	Kouvola–Joensuu	Lappeenranta	K				61.178295	28.687578
Rauhalahti		Rhl			Linjavaihde	380+510	01225	Jyväskylä–Pieksämäki	Jyväskylä			K		62.239957	25.801006
Rauma	Raumo	Rma			Liikennepaikka	331+659	00165	Kokemäki–Rauma	Rauma	K		K	K	61.132361	21.492431
Raunio		Rio			Liikennepaikka	464+845	01227	Seinäjoki–Oulu	Kauhava	K				63.171521	22.955164
Rautaruukki		Rat			Liikennepaikka	730+050	00750	Raahe–Rautaruukki	Raahe			K	K	64.658708	24.443464
Rautjärvi		Rjä			Liikennepaikka	345+788	00506	Kouvola–Joensuu	Rautjärvi	K				61.300812	29.085136
Rautpohja		Rph			Linjavaihde	372+829	01232	Haapamäki–Jyväskylä	Jyväskylä			K		62.232539	25.690392
Rekola	Räckhals	Rkl			Seisake	20+615	00554	Helsinki–Riihimäki	Vantaa					60.332871	25.068666
Retretti		Ree			Seisake	507+500	00793	Savonlinna–Parikkala	Savonlinna					61.803308	29.294294
RIIHIMÄKI		Rii			Osiin jaettu liikennepaikka	–	–	Helsinki–Riihimäki, Riihimäki–Kouvola, Riihimäki–Tampere		K				#N/A	#N/A
Riihimäki Arolampi		Arp			Liikennepaikan osa	66+600	01235		Hausjärvi					60.697135	24.818591
Riihimäki tavara		Rit			Liikennepaikan osa	68+773	01240		Riihimäki			K	K	60.714716	24.802312
Riihimäki lajittelu		Rila			Liikennepaikan osa	70+068	01238		Riihimäki				K	60.725385	24.792909
Riihimäki asema		Ri	Riihimäki		Liikennepaikan osa	71+410	00040		Riihimäki			K	K	60.736078	24.781241
Riijärvi		Rjr			Liikennepaikka	502+567	01327	Seinäjoki–Oulu	Uusikaarlepyy	K				63.465864	22.66527
Riippa		Rpa			Liikennepaikka	577+477	00747	Seinäjoki–Oulu	Kokkola	K			K	63.868454	23.637151
Ristiina		Rst			Liikennepaikka	291+162	00770	Mynttilä–Ristiina	Mikkeli	M		K	K	61.461611	27.264338
Ristijärvi		Rjv			Liikennepaikka	676+804	00391	Kontiomäki–Ämmänsaari	Ristijärvi	K				64.488179	28.185498
Rovaniemi		Roi			Liikennepaikka	971+775	00364	Laurila–Kemijärvi	Rovaniemi	K		K	K	66.497675	25.705329
Ruha		Rha			Liikennepaikka	431+132	00742	Seinäjoki–Oulu	Lapua	K				62.887473	22.978534
Runni		Rnn			Seisake	568+518	00886	Iisalmi–Ylivieska	Iisalmi					63.602052	26.886487
Ruukki		Rki			Liikennepaikka	705+228	00337	Seinäjoki–Oulu	Siikajoki	K			K	64.660373	25.0982
Ruusumäki		Rsm			Liikennepaikka	20+282	01338	Huopalahti–Havukoski	Vantaa	K				60.31566	24.878314
Ryttylä		Ry			Liikennepaikka	80+770	00042	Riihimäki–Tampere	Hausjärvi	K		K	K	60.818048	24.758186
Röyttä		Röy			Liikennepaikka	893+917	00833	Tornio–Röyttä	Tornio			K	K	65.765795	24.162896
Saakoski		Saa			Liikennepaikka	305+373	00668	Tampere–Jyväskylä	Jyväskylä	K				61.990369	25.410596
Saari		Sr			Liikennepaikka	405+246	00964	Kouvola–Joensuu	Parikkala	K			K	61.695058	29.660865
Saarijärvi		Srj			Liikennepaikka	452+723	00254	Äänekoski–Haapajärvi	Saarijärvi	M			K	62.700076	25.283095
Salminen		Sln			Liikennepaikka	426+718	00405	Pieksämäki–Kontiomäki, Pieksämäki–Kontiomäki	Suonenjoki	K			K	62.676239	27.286121
Salo		Slo			Liikennepaikka	143+981	00055	Helsinki–Turku satama	Salo	K			K	60.384777	23.121448
Sammalisto		Sam			Liikennepaikka	74+487	01246	Riihimäki–Tampere	Riihimäki	K				60.763711	24.78372
Santala	Sandö	Sta			Seisake	196+908	00827	Karjaa–Hanko	Hanko					59.875008	23.121052
Saunamäki		Smä			Liikennepaikka	180+534	01325	Riihimäki–Kouvola	Iitti					60.852337	26.519052
Savio		Sav			Seisake	26+265	00555	Helsinki–Riihimäki	Kerava					60.381296	25.097803
SAVONLINNA		Svl			Osiin jaettu liikennepaikka	–	–	Savonlinna–Parikkala, Huutokoski–Savonlinna						#N/A	#N/A
Savonlinna asema	Nyslott	Sl	Savonlinna		Liikennepaikan osa	482+797	00521		Savonlinna	K				61.8689	28.888266
Pääskylahti		Pky			Liikennepaikan osa	484+913	00519		Savonlinna	K			K	61.862291	28.924534
SEINÄJOKI		Sei			Osiin jaettu liikennepaikka	–	–	Tampere–Seinäjoki, Seinäjoki–Oulu, Orivesi–Seinäjoki,		M				#N/A	#N/A
Seinäjoki tavara		Skt			Liikennepaikan osa	416+580	01252		Seinäjoki			K	K	62.784847	22.866289
Seinäjoki asema		Sk	Seinäjoki		Liikennepaikan osa	418+001	00280		Seinäjoki			K	K	62.792016	22.844217
Seinäjoki Rahkola		Rla			Liikennepaikan osa	412+612	01362		Seinäjoki	K			K	62.762843	22.9254
Selänpää		Spä			Liikennepaikka	209+869	00539	Kouvola–Pieksämäki	Kouvola	K				61.007729	26.714088
Sieppijärvi		Spj			Liikennepaikka	1045+904	00796	Tornio–Kolari	Kolari	K				67.159514	23.867383
Sievi		Svi			Liikennepaikka	613+371	00319	Seinäjoki–Oulu	Sievi	K				63.978137	24.278697
Siikamäki		Skä			Liikennepaikka	389+747	00429	Pieksämäki–Joensuu	Pieksämäki	K				62.289158	27.40773
SIILINJÄRVI		Sii			Osiin jaettu liikennepaikka	–	–	Siilinjärvi–Viinijärvi, Pieksämäki–Kontiomäki		K				#N/A	#N/A
Siilinjärvi asema		Sij			Liikennepaikan osa	489+718	00413		Siilinjärvi	K		K	K	63.074953	27.666561
Ruokosuo		Rsu			Liikennepaikan osa	494+735	01342		Siilinjärvi	K		K		63.09744	27.740113
Simo		Sim			Liikennepaikka	833+715	00346	Oulu–Laurila	Simo	K				65.663135	25.060752
Simpele		Spl			Liikennepaikka	368+317	00507	Kouvola–Joensuu	Rautjärvi	K		K	K	61.424787	29.371696
Sipilä		Sip			Liikennepaikka	68+697	01254	Kerava–Hakosilta, Kerava–Hakosilta	Mäntsälä	K				60.711122	25.420346
Sisättö		Stö			Liikennepaikka	235+602	01257	Tampere–Seinäjoki	Ikaalinen	K				61.838125	23.310976
Siuntio	Sjundeå	Sti			Liikennepaikka	51+285	00576	Helsinki–Turku satama	Siuntio	K				60.140648	24.221671
Siuro		Siu			Liikennepaikka	213+355	00179	Lielahti–Kokemäki	Nokia	K			K	61.47445	23.33911
Skogby		Sgy			Seisake	184+680	00817	Karjaa–Hanko	Raasepori					59.926668	23.312403
Sköldvik	Kilpilahti	Sld			Liikennepaikka	56+360	00560	Kerava–Sköldvik	Porvoo	M		K	K	60.305964	25.481846
Soinlahti		Soa			Linjavaihde	559+651	00422	Pieksämäki–Kontiomäki	Iisalmi			K	K	63.634206	27.204458
Sorsasalo		Sor			Linjavaihde	473+754	00870	Pieksämäki–Kontiomäki	Kuopio			K		62.953371	27.68315
Sukeva		Skv			Liikennepaikka	589+222	00424	Pieksämäki–Kontiomäki	Sonkajärvi	K			K	63.864618	27.422313
Suolahti		Suo			Liikennepaikka	417+796	00251	Jyväskylä–Äänekoski	Äänekoski	K		K	K	62.561352	25.851545
Suonenjoki		Snj			Liikennepaikka	413+842	00404	Pieksämäki–Kontiomäki, Suonenjoki–Yläkoski	Suonenjoki	K			K	62.623707	27.124495
Suoniemi		Snm			Liikennepaikka	220+655	00638	Lielahti–Kokemäki	Nokia	K				61.465246	23.210006
Syrjä		Syr			Linjavaihde	452+865	00435	Pieksämäki–Joensuu	Heinävesi					62.356168	28.366542
Syrjämäki		Ski			Liikennepaikka	341+621	01265	Tampere–Seinäjoki	Seinäjoki	K				62.756156	22.912391
Sysmäjärvi		Smj			Liikennepaikka	669+601	00912	Sysmäjärvi–Vuonos, Siilinjärvi–Viinijärvi	Outokumpu	K		K	K	62.716898	29.060797
Säkäniemi		Sä			Liikennepaikka	480+242	00918	Niirala-raja–Säkäniemi, Kouvola–Joensuu	Tohmajärvi	K				62.317676	30.120915
Sänkimäki		Skm			Linjavaihde	504+931	00872	Siilinjärvi–Viinijärvi	Kuopio					63.15085	27.874879
Sääksjärvi		Sj			Liikennepaikka	177+734	00157	Riihimäki–Tampere	Tampere	K				61.418654	23.752219
Taavetti		Ta			Liikennepaikka	238+589	00486	Kouvola–Joensuu	Luumäki	K		K	K	60.913077	27.559584
Tahkoluoto		Tko			Liikennepaikka	350+235	00702	Pori–Mäntyluoto	Pori			K		61.633918	21.417336
Taipale		Te			Liikennepaikka	537+605	01268	Pieksämäki–Kontiomäki	Iisalmi	K				63.459474	27.311786
Talviainen		Tv			Liikennepaikka	247+245	01270	Tampere–Jyväskylä	Orivesi	K				61.724742	24.658868
Talvivaara		Tlv			Liikennepaikka	636+831	01323	Murtomäki–Talvivaara				K	K	63.979256	27.995425
Tammisaari	Ekenäs	Tms			Seisake	174+056	00076	Karjaa–Hanko	Raasepori					59.979553	23.443501
TAMPERE		Tre			Osiin jaettu liikennepaikka	–	–	Riihimäki–Tampere, Tampere–Seinäjoki, Tampere–Jyväskylä		M				#N/A	#N/A
Tampere tavara		Tpet			Liikennepaikan osa	184+100	01273		Tampere			K	K	61.469888	23.763974
Tampere Viinikka		Vka			Liikennepaikan osa	185+400	01274		Tampere			K	K	61.480331	23.773542
Tampere asema	Tammerfors	Tpe	Tampere asema		Liikennepaikan osa	187+389	00160		Tampere				K	61.498236	23.773454
Tampere Järvensivu		Jvs			Liikennepaikan osa	187+814	01272		Tampere					61.491461	23.785189
Tapanila	Mosabacka	Tna			Seisake	12+610	00552	Helsinki–Riihimäki	Helsinki					60.2639	25.030033
Tapavainola		Tap			Liikennepaikka	270+405	01276	Kouvola–Joensuu	Lappeenranta	K				61.017354	28.08938
Tavastila		Tsl			Seisake	228+805	00837	Kouvola–Kotka	Kotka					60.573333	26.954701
Tervajoki		Tk			Seisake	460+156	00294	Seinäjoki–Vaasa	Isokyrö					63.000773	22.171462
Tervola		Trv			Liikennepaikka	900+521	00361	Laurila–Kemijärvi	Tervola	K				66.081811	24.772291
Tesoma		Tso			Seisake	196+230	01359	Lielahti–Kokemäki	Tampere					61.503363	23.630271
Tikkala		Tkk			Liikennepaikka	592+461	00916	Kouvola–Joensuu	Tohmajärvi	K				62.364981	30.083633
Tikkaperä		Tkp			Liikennepaikka	720+741	01335	Seinäjoki–Oulu	Liminka	K				64.771091	25.291811
TIKKURILA		Tik			Osiin jaettu liikennepaikka	–	–	Helsinki–Riihimäki, Huopalahti–Havukoski		K				#N/A	#N/A
Havukoski		Hvk			Liikennepaikan osa	17+725	01334		Vantaa	K				60.308402	25.051833
Hiekkaharju	Sandkulla	Hkh			Liikennepaikan osa	17+109	00556		Vantaa					60.303067	25.049296
Tikkurila asema	Dickursby	Tkl			Liikennepaikan osa	15+861	00018		Vantaa	K		K	K	60.292166	25.044055
Tohmajärvi		Toh			Liikennepaikka	571+752	00448	Niirala-raja–Säkäniemi	Tohmajärvi	K				62.243484	30.356148
Toijala		Tl			Liikennepaikka	147+339	00150	Toijala–Turku, Riihimäki–Tampere, Toijala–Valkeakoski	Akaa	K		K	K	61.170611	23.860905
Toivala		Toi			Liikennepaikka	479+162	00412	Pieksämäki–Kontiomäki	Siilinjärvi	K				62.996029	27.723588
Tolsa	Tolls	Tol			Seisake	35+454	00830	Helsinki–Turku satama	Kirkkonummi					60.118558	24.472724
Tommola		Tom			Liikennepaikka	117+197	01280	Riihimäki–Kouvola	Hollola	K				60.906703	25.492176
Torkkeli		Trk			Liikennepaikka	240+154	01283	Tampere–Jyväskylä	Orivesi	K				61.70059	24.548925
TORNIO		Trn			Osiin jaettu liikennepaikka	–	–	Tornio–Röyttä, Tornio–Kolari, Laurila–Tornio-raja						#N/A	#N/A
Tornio asema	Torneå	Tor	Tornio		Liikennepaikan osa (Tornio)	884+656	00351		Tornio	K			K	65.84534	24.163576
Tornio tavara		Trt			Liikennepaikan osa (Tornio)	885+395	01373		Tornio	K			K	#N/A	#N/A
Tornio-raja	Torneå gränsen	Trr			Liikennepaikka	887+190	00678	Laurila–Tornio-raja	Tornio					65.827853	24.150732
Tornio-Itäinen	Torneå Östra	Tri			Seisake	883+307	01318	Laurila–Tornio-raja	Tornio					65.850823	24.18508
Tuomarila	Domsby	Trl			Seisake	19+022	00579	Helsinki–Turku satama	Espoo					60.20605	24.681767
Tuomioja		Tja			Liikennepaikka	698+504	00336	Seinäjoki–Oulu, Tuomioja–Raahe	Siikajoki	K			K	64.608277	25.027911
Turenki		Tu			Liikennepaikka	93+771	00044	Riihimäki–Tampere	Janakkala	K		K	K	60.918387	24.63865
TURKU		Tur			Osiin jaettu liikennepaikka	–	–	Helsinki–Turku satama, Toijala–Turku, Turku–Uusikaupunki	Turku	K				#N/A	#N/A
Kupittaa	Kuppis	Kut			Liikennepaikan osa (Turku)	196+372	00126		Turku					60.450274	22.297114
Turku asema	Åbo	Tku	Turku päärautatieasema		Liikennepaikan osa (Turku)	199+674	00130		Turku			K	K	60.456488	22.260867
Turku tavara		Tkut			Liikennepaikan osa (Turku)	200+460	01285		Turku			K	K	60.452001	22.240471
Turku satama	Åbo hamn	Tus			Liikennepaikan osa (Turku)	202+510	00135		Turku			K		60.434245	22.226894
Tuupovaara		Tpv			Liikennepaikka	668+672	00458	Joensuu–Ilomantsi	Joensuu				K	62.523103	30.558938
Tuuri		Tuu			Seisake	366+962	00283	Orivesi–Seinäjoki	Alavus					62.605349	23.722323
Törmä		Tör			Liikennepaikka	878+075	01287	Laurila–Kemijärvi	Keminmaa	K				65.89466	24.625744
Törölä		Trä			Liikennepaikka	264+972	01290	Kouvola–Joensuu	Lappeenranta	K				61.007817	27.99051
Uimaharju		Uim			Liikennepaikka	674+451	00465	Joensuu–Nurmes	Joensuu	K		K	K	62.912482	30.241497
Urjala		Ur			Liikennepaikka	165+588	00148	Toijala–Turku	Urjala	K			K	61.0635	23.626264
Utajärvi		Utj			Liikennepaikka	810+502	00376	Oulu–Kontiomäki	Utajärvi	K			K	64.758926	26.413565
Utti		Uti			Linjavaihde	204+085	00484	Kouvola–Joensuu	Kouvola				K	60.877673	26.933289
Uusikaupunki	Nystad	Ukp			Liikennepaikka	264+795	00121	Uusikaupunki–Hangonsaari, Turku–Uusikaupunki	Uusikaupunki	K		K		60.797364	21.425685
Uusikylä		Ukä			Liikennepaikka	149+485	00105	Riihimäki–Kouvola	Lahti	K			K	60.927722	25.993966
Vaajakoski		Vko			Liikennepaikka	384+866	00245	Jyväskylä–Pieksämäki	Jyväskylä	K			K	62.247587	25.879324
Vaala		Vaa			Liikennepaikka	844+671	00377	Oulu–Kontiomäki	Vaala	K			K	64.558015	26.842702
Vaarala		Vra			Linjavaihde	981+481	00807	Laurila–Kemijärvi	Rovaniemi					66.518098	25.8801
Vaasa	Vasa	Vs			Liikennepaikka	492+588	00288	Seinäjoki–Vaasa	Vaasa	K			K	63.097786	21.621824
Vahojärvi		Vjr			Liikennepaikka	244+926	00214	Tampere–Seinäjoki	Parkano	K				61.913026	23.232163
VAINIKKALA		Vai			Osiin jaettu liikennepaikka	–	–	Luumäki–Vainikkala-raja		M				#N/A	#N/A
Vainikkala tavara		Vnat			Liikennepaikan osa	281+700	01292		Lappeenranta			K	K	60.86817	28.285662
Vainikkala asema		Vna	Vainikkala		Liikennepaikan osa	282+784	00492		Lappeenranta				K	60.863835	28.303201
Vainikkala-raja		Vnar			Liikennepaikka	284+862	00493		Lappeenranta					60.855474	28.337173
Valimo	Gjuteriet	Vmo			Seisake	7+480	00847	Helsinki–Turku satama	Helsinki					60.222028	24.87583
Valkeakoski		Vi			Liikennepaikka	164+952	00153	Toijala–Valkeakoski	Valkeakoski	M		K	K	61.273922	24.017075
Valkeasuo		Vso			Linjavaihde	583+976	00450	Niirala-raja–Säkäniemi	Tohmajärvi					62.304843	30.163977
Valtimo		Vlm			Liikennepaikka	808+636	00475	Nurmes–Kontiomäki	Valtimo	M				63.686406	28.800862
Vammala		Vma			Liikennepaikka	245+885	00176	Lielahti–Kokemäki	Sastamala	K			K	61.349519	22.887664
Vanattara		Vtr			Liikennepaikka	172+340	01295	Riihimäki–Tampere	Lempäälä	K				61.370713	23.759537
Vantaankoski	Vandaforsen	Vks			Seisake	14+907	00839	Huopalahti–Havukoski	Vantaa					60.286119	24.847966
Varkaus		Var			Liikennepaikka	424+685	00432	Pieksämäki–Joensuu, Varkaus–Kommila	Varkaus	K		K	K	62.312389	27.873415
Vartius		Vus			Liikennepaikka	753+755	00941	Kontiomäki–Vartius-raja	Kuhmo	M			K	64.540163	29.94809
Vartius-raja		Vur			Liikennepaikka	755+856	00949	Kontiomäki–Vartius-raja	Kuhmo					64.545906	29.989741
Vasikkahaka		Vkh			Liikennepaikka	31+175	01300	Helsinki–Turku satama	Kirkkonummi	K				60.146114	24.524784
Vaskiluoto	Vasklot	Vsk			Liikennepaikka	496+463	00291	Vaasa–Vaskiluoto	Vaasa			K		63.089086	21.564228
Vehkala	Veckal	Veh			Seisake	15+997	01337	Huopalahti–Havukoski	Vantaa					60.295054	24.843716
Venetmäki		Vki			Liikennepaikka	433+164	00428	Jyväskylä–Pieksämäki	Pieksämäki	K				62.309222	26.752862
Vesanka		Vn			Liikennepaikka	364+469	00239	Haapamäki–Jyväskylä	Jyväskylä	K				62.269355	25.557151
Viekki		Vk			Linjavaihde	753+979	00471	Joensuu–Nurmes	Lieksa				K	63.421549	29.61174
Vierumäki		Vrm			Linjavaihde	153+801	00112	Lahti–Heinola	Heinola				K	61.101895	25.932868
Vihanti		Vti			Liikennepaikka	684+573	00334	Seinäjoki–Oulu	Raahe	K				64.48451	24.993624
Vihtari		Vih			Liikennepaikka	489+889	00438	Pieksämäki–Joensuu	Heinävesi	K			K	62.380739	29.029282
Vihtavuori		Vri			Liikennepaikka	395+230	00248	Jyväskylä–Äänekoski	Laukaa	K				62.373612	25.889739
Viiala		Via			Liikennepaikka	154+288	00155	Riihimäki–Tampere	Akaa	K				61.211787	23.770683
Viinijärvi		Vnj			Liikennepaikka	656+569	00440	Siilinjärvi–Viinijärvi, Pieksämäki–Joensuu	Liperi	K				62.641687	29.237166
Villähde		Vlh			Liikennepaikka	140+442	00104	Riihimäki–Kouvola	Lahti	K				60.946379	25.833724
Vilppula		Vlp			Liikennepaikka	274+760	00196	Orivesi–Seinäjoki, Vilppula–Mänttä	Mänttä-Vilppu	K		K	K	62.025888	24.506956
Vinnilä		Vin			Liikennepaikka	131+243	01305	Riihimäki–Tampere	Hämeenlinna	K				61.099944	24.110938
Virkamies		Vms			Liikennepaikka	25+931	01339	Huopalahti–Havukoski	Vantaa	K				60.310517	24.963318
Voltti		Vt			Liikennepaikka	479+402	00302	Seinäjoki–Oulu	Kauhava	K				63.286164	22.824405
Vuohijärvi		Vhj			Liikennepaikka	221+308	00541	Kouvola–Pieksämäki	Kouvola	K			K	61.095852	26.796227
Vuojoki		Vjo			Liikennepaikka	318+501	01310	Kokemäki–Rauma	Eurajoki	K				61.179379	21.709937
Vuokatti		Vkt			Liikennepaikka	868+838	00383	Nurmes–Kontiomäki, Vuokatti–Lahnaslampi	Sotkamo	M			K	64.14752	28.273914
Vuonislahti		Vsl			Liikennepaikka	705+240	00467	Joensuu–Nurmes	Lieksa	K				63.152636	29.99331
Vuonos		Vns			Liikennepaikka	588+116	00863	Sysmäjärvi–Vuonos	Outokumpu			K		62.756358	29.080453
Vuosaari	Nordsjö	Vsa			Liikennepaikka	50+184	01321	Kerava–Vuosaari	Helsinki	K		K	K	60.227507	25.167956
YKSPIHLAJA		Yks			Osiin jaettu liikennepaikka	–	–	Kokkola–Ykspihlaja						#N/A	#N/A
Ykspihlaja tavara		Ykst			Liikennepaikan osa	553+900	00315		Kokkola			K	K	63.840242	23.070351
Ykspihlaja väliratapiha		Yksv			Liikennepaikan osa	555+511	01326		Kokkola			K	K	63.850442	23.058247
Ylistaro		Yst			Seisake	439+558	00296	Seinäjoki–Vaasa	Seinäjoki					62.917801	22.532729
Ylitornio	Övertorneå	Ytr			Seisake	946+041	00789	Tornio–Kolari	Ylitornio					66.324438	23.682508
Ylivalli		Ylv			Liikennepaikka	302+016	00654	Tampere–Seinäjoki	Kurikka	K		K	K	62.402105	22.958844
Ylivieska		Yv			Liikennepaikka	630+343	00320	Iisalmi–Ylivieska, Seinäjoki–Oulu	Ylivieska	M		K	K	64.071898	24.540593
Yläkoski		Ylk			Liikennepaikka	416+849	00867	Suonenjoki–Yläkoski	Suonenjoki			K		62.644012	27.085998
Ylämylly		Yly			Liikennepaikka	639+019	00913	Pieksämäki–Joensuu	Liperi	K			K	62.620557	29.564534
Ylöjärvi		Ylö			Liikennepaikka	200+753	00211	Tampere–Seinäjoki	Ylöjärvi	K			K	61.556526	23.58604
Ypykkävaara		Ypy			Liikennepaikka	729+780	00940	Kontiomäki–Vartius-raja	Kuhmo	K			K	64.479932	29.474923
Äetsä		Äs			Liikennepaikka	258+280	00174	Lielahti–Kokemäki	Sastamala	K			K	61.296677	22.706473
Ähtäri	Etseri	Äht			Liikennepaikka	346+067	00265	Orivesi–Seinäjoki	Ähtäri	K				62.553265	24.064036
Äänekoski		Äki			Liikennepaikka	424+515	00252	Jyväskylä–Äänekoski, Äänekoski–Haapajärvi	Äänekoski	K		K	K	62.596862	25.747629
